year, circuit, score
2012, BrazilianGrandPrix, 9.45
2019, GermanGrandPrix, 9.44
2011, ChineseGrandPrix, 9.24
2014, CanadianGrandPrix, 9.19
2014, HungarianGrandPrix, 9.14
2015, HungarianGrandPrix, 9.11
2015, UnitedStatesGrandPrix, 9.1
2011, CanadianGrandPrix, 9.1
2014, BahrainGrandPrix, 9.1
2019, AustrianGrandPrix, 8.88
2012, AbuDhabiGrandPrix, 8.85
2017, AzerbaijanGrandPrix, 8.79
2012, EuropeanGrandPrix, 8.78
2012, UnitedStatesGrandPrix, 8.77
2019, BrazilianGrandPrix, 8.77
2018, UnitedStatesGrandPrix, 8.76
2008, BrazilianGrandPrix, 8.76
2016, SpanishGrandPrix, 8.71
2010, CanadianGrandPrix, 8.67
2018, BritishGrandPrix, 8.65
2012, ChineseGrandPrix, 8.65
2010, AustralianGrandPrix, 8.64
2018, ChineseGrandPrix, 8.62
2019, BritishGrandPrix, 8.56
2018, AzerbaijanGrandPrix, 8.54
2019, BahrainGrandPrix, 8.51
2012, MalaysianGrandPrix, 8.45
2011, GermanGrandPrix, 8.43
2015, MalaysianGrandPrix, 8.37
2010, BelgianGrandPrix, 8.37
2011, HungarianGrandPrix, 8.34
2010, ChineseGrandPrix, 8.33
2018, BahrainGrandPrix, 8.32
2018, ItalianGrandPrix, 8.31
2009, BrazilianGrandPrix, 8.31
2012, SpanishGrandPrix, 8.27
2012, CanadianGrandPrix, 8.2
2008, MonacoGrandPrix, 8.18
2019, ItalianGrandPrix, 8.18
2018, BrazilianGrandPrix, 8.18
2008, BritishGrandPrix, 8.16
2008, ItalianGrandPrix, 8.15
2018, GermanGrandPrix, 8.14
2018, AustrianGrandPrix, 8.12
2016, AustrianGrandPrix, 8.1
2016, MalaysianGrandPrix, 8.01
2010, TurkishGrandPrix, 7.98
2019, HungarianGrandPrix, 7.97
2011, BritishGrandPrix, 7.96
2017, BahrainGrandPrix, 7.96
2015, BritishGrandPrix, 7.95
2016, BrazilianGrandPrix, 7.94
2009, AustralianGrandPrix, 7.94
2017, SpanishGrandPrix, 7.87
2014, GermanGrandPrix, 7.86
2016, ChineseGrandPrix, 7.85
2009, BelgianGrandPrix, 7.85
2014, BritishGrandPrix, 7.85
2013, BahrainGrandPrix, 7.83
2008, CanadianGrandPrix, 7.81
2017, UnitedStatesGrandPrix, 7.78
2011, MalaysianGrandPrix, 7.78
2011, BelgianGrandPrix, 7.77
2014, BelgianGrandPrix, 7.76
2016, AustralianGrandPrix, 7.76
2016, MonacoGrandPrix, 7.75
2008, BelgianGrandPrix, 7.74
2013, AustralianGrandPrix, 7.7
2011, MonacoGrandPrix, 7.68
2013, HungarianGrandPrix, 7.68
2012, AustralianGrandPrix, 7.66
2013, GermanGrandPrix, 7.64
2012, ItalianGrandPrix, 7.64
2008, AustralianGrandPrix, 7.61
2016, AbuDhabiGrandPrix, 7.59
2011, JapaneseGrandPrix, 7.57
2017, CanadianGrandPrix, 7.55
2010, SouthKoreanGrandPrix, 7.54
2017, ChineseGrandPrix, 7.53
2011, ItalianGrandPrix, 7.49
2012, BelgianGrandPrix, 7.47
2019, BelgianGrandPrix, 7.44
2017, MalaysianGrandPrix, 7.43
2014, ItalianGrandPrix, 7.42
2013, ChineseGrandPrix, 7.41
2013, BritishGrandPrix, 7.39
2016, BahrainGrandPrix, 7.38
2015, BahrainGrandPrix, 7.37
2013, SouthKoreanGrandPrix, 7.35
2013, JapaneseGrandPrix, 7.34
2014, UnitedStatesGrandPrix, 7.33
2011, SpanishGrandPrix, 7.32
2011, TurkishGrandPrix, 7.31
2016, BelgianGrandPrix, 7.25
2014, BrazilianGrandPrix, 7.22
2010, BritishGrandPrix, 7.2
2010, SingaporeGrandPrix, 7.19
2008, GermanGrandPrix, 7.18
2013, BrazilianGrandPrix, 7.14
2016, SingaporeGrandPrix, 7.11
